Keyword,Page URL,LOCKED,Status,Action,Clicks,Position,Match Score,AI Score,Source
wall art decor,https://aboutwallart.com/,LOCKED,DONE,TO_OPTIMIZE,N/A,N/A,N/A,N/A,Other
unique wall art,https://aboutwallart.com/pages/unique-wall-art,LOCKED,DONE,TO_OPTIMIZE,N/A,N/A,N/A,N/A,Pre-Optimized Page
home decor unique,https://aboutwallart.com/pages/home-decor-items,LOCKED,DONE,TO_OPTIMIZE,N/A,N/A,N/A,N/A,Pre-Optimized Page
modern wall art,https://aboutwallart.com/pages/modern-art-wall-decoration-shop-by-room,LOCKED,DONE,TO_OPTIMIZE,N/A,N/A,N/A,N/A,Pre-Optimized Page
framed wall art,https://aboutwallart.com/pages/wall-hanging-pictures-shop-by-style,LOCKED,DONE,TO_OPTIMIZE,N/A,N/A,N/A,N/A,Pre-Optimized Page
wall art by colour,https://aboutwallart.com/pages/gallery-wall-art-shop-by-colour-scheme,LOCKED,DONE,TO_OPTIMIZE,N/A,N/A,N/A,N/A,Pre-Optimized Page
celebration gifts,https://aboutwallart.com/pages/celebration-gifts-shop-by-occasion,LOCKED,DONE,TO_OPTIMIZE,N/A,N/A,N/A,N/A,Pre-Optimized Page
botanical themed bedroom,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/master-botanical-themed-bedroom-like-a-professional-designer,LOCKED,DONE,TO_OPTIMIZE,N/A,N/A,N/A,N/A,Published Blog
boho art design,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/boho-art-design-how-to-master-bohemian-wall-decor,LOCKED,DONE,TO_OPTIMIZE,N/A,N/A,N/A,N/A,Published Blog
boho bedroom,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/boho-bedroom-ideas-create-your-peaceful-sanctuary,LOCKED,DONE,TO_OPTIMIZE,N/A,N/A,N/A,N/A,Published Blog
boho living room ideas,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/bohemian-living-room-ideas-free-spirited-decor-tips,LOCKED,DONE,TO_OPTIMIZE,N/A,N/A,N/A,N/A,Published Blog
rustic boho,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/rustic-boho-style-how-to-blend-two-design-trends,LOCKED,DONE,TO_OPTIMIZE,N/A,N/A,N/A,N/A,Published Blog
coastal interior design,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/coastal-interior-design-that-will-make-your-home-instagram-w,LOCKED,DONE,TO_OPTIMIZE,N/A,N/A,N/A,N/A,Published Blog
summer design ideas,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/summer-design-ideas-made-easy-complete-beginners-guide,LOCKED,DONE,TO_OPTIMIZE,N/A,N/A,N/A,N/A,Published Blog
coastal chic style,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/latest-coastal-chic-style-trends-every-designer-is-using,LOCKED,DONE,TO_OPTIMIZE,N/A,N/A,N/A,N/A,Published Blog
coastal interiors,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/coastal-interior-design-bring-the-beach-home-with-these-idea,LOCKED,DONE,TO_OPTIMIZE,N/A,N/A,N/A,N/A,Published Blog
coastal master bedroom ideas,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/coastal-master-bedroom-ideas-serene-decor-inspiration,LOCKED,DONE,TO_OPTIMIZE,N/A,N/A,N/A,N/A,Published Blog
shibori wall art,https://aboutwallart.com/blogs/news-articles-home-decor-inspiration/how-to-choose-the-perfect-shibori-wall-art-for-your-home,LOCKED,DONE,TO_OPTIMIZE,N/A,N/A,N/A,N/A,Published Blog
